EPF_Number__t2o,Gender,PermanentRecidence_cat,Recidence,CivilStatus_cat,HighestEducationQualification_cat,InterviewedBy,ExtraCurricularActivities,ApparelRelatedVocationalQualification,PreviousJob,ExperiencedSection_cat,RelativesInApparel,SpouseOccupation_cat,FamilyOppinionAboutTheJob,Referel_cat,ExpectationOfDoingTheJob_cat,AvailabilityOfTransportNearTheResidence,RetentionCategory,SelectedDepartment,ReasonForChooseApparel,PreviousWorkPlace,PersonalImpression,ContributionToTheFamilyIncome_cat,Children_cat,ApparelExperience,ReasonForLeaving_cat,Height,Weight,MedicalTest,IQTestScore,ExpectedSalary,FollowingExternalCourses,LastBasicSal_cat,Age Category,Age Joined,Age(Median),Is Terminated
543,Female,No,Boarded,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Average,Moderate,ChildrenGreaterThan5Yrs,FALSE,NoJob,156,50,Passed,60,25000,No,NoJob,4,30,32,Yes
544,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,152,55,Passed,70,25000,No,NoJob,2,23,22,Yes
545,Female,No,Boarded,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,TRUE,JobIssue,164,48,Passed,90,30000,No,15000to30000,2,23,22,Yes
546,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,Other,169,49,Passed,85,25000,No,15000to30000,2,22,22,Yes
547,Female,Yes,ComingFromHome,Unmarried,PassedOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,172,63,Passed,95,25000,No,NoJob,2,20,22,Yes
548,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,Other,154,81,Passed,80,30000,No,15000to30000,5,40,38,Yes
549,Female,No,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,JobIssue,150,51,Passed,90,30000,No,15000to30000,3,28,27,Yes
550,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,170,48,Passed,75,25000,No,15000to30000,3,25,27,Yes
551,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NonApparel,Other,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,FALSE,JobIssue,169,53,Passed,75,25000,No,0to15000,3,29,27,Yes
552,Female,No,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,170,52,Passed,85,25000,No,0to15000,4,32,32,Yes
553,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,Other,169,52,Passed,90,25000,No,0to15000,2,21,22,Yes
554,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,170,56,Passed,85,25000,No,NoJob,1,19,19,Yes
555,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NotMAS,Good,Low,Unmarried,TRUE,JobIssue,162,60,Passed,80,25000,No,15000to30000,2,23,22,Yes
556,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,Low,ChildrenGreaterThan5Yrs,TRUE,JobIssue,170,66,Passed,85,25000,No,15000to30000,5,39,38,Yes
557,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,169,48,Passed,75,25000,No,15000to30000,1,18,19,Yes
558,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,Unmarried,TRUE,JobIssue,156,70,Passed,0,30000,No,15000to30000,2,24,22,Yes
559,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,163,41,Passed,95,25000,No,NoJob,1,18,19,Yes
560,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,154,39,Passed,0,30000,No,15000to30000,4,32,32,Yes
561,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NoJob,Good,High,Unmarried,FALSE,NoJob,163,63,Passed,100,25000,No,NoJob,2,24,22,Yes
562,Female,Yes,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenLessThan5Yrs,FALSE,NoJob,152,44,Passed,65,30000,No,NoJob,2,22,22,Yes
563,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,152,52,Passed,90,28000,No,NoJob,2,21,22,Yes
564,Female,Yes,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,NoChildren,FALSE,NoJob,170,46,Passed,75,25000,No,NoJob,3,25,27,Yes
565,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,NoChildren,TRUE,JobIssue,168,52,Passed,95,25000,No,15000to30000,1,19,19,Yes
566,Female,No,ComingFromHome,NoSpouse,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,ChildrenLessThan5Yrs,TRUE,JobIssue,170,51,Passed,85,25000,No,0to15000,5,40,38,Yes
567,Female,Yes,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,169,52,Passed,75,25000,No,0to15000,5,37,38,Yes
568,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,169,48,Passed,75,25000,No,0to15000,1,19,19,Yes
569,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,TRUE,JobIssue,156,42,Passed,90,30000,No,15000to30000,2,20,22,Yes
570,Female,No,Boarded,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,148,62,Passed,55,25000,No,NoJob,1,19,19,Yes
571,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,52,Passed,85,25000,No,NoJob,1,19,19,Yes
572,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,High,NoChildren,TRUE,JobIssue,170,65,Passed,75,25000,No,15000to30000,5,38,38,Yes
573,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,TRUE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,CloseProximityToHome,NoJob,Good,Low,Unmarried,FALSE,NoJob,160,51,Passed,90,20000,No,NoJob,1,19,19,Yes
574,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenGreaterThan5Yrs,FALSE,NoJob,147,56,Passed,80,30000,No,NoJob,5,37,38,Yes
575,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,PersonalIssue,173,54,Passed,75,25000,No,0to15000,5,36,38,Yes
576,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,B,TMMO,Other,NotMAS,Good,High,Unmarried,FALSE,Other,158,60,Passed,70,25000,No,NoJob,1,18,19,Yes
577,Female,No,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,168,58,Passed,90,25000,No,NoJob,2,24,22,Yes
578,Female,No,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,Low,ChildrenGreaterThan5Yrs,TRUE,JobIssue,170,51,Passed,90,25000,No,15000to30000,3,29,27,Yes
579,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,NoSpouse,Like,Media,LongTerm,Yes,B,TMMO,LikeSewing,MASPlant,Good,Moderate,Unmarried,TRUE,Other,164,52,Passed,50,16840,No,15000to30000,5,35,38,Yes
580,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Other,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,152,40,Passed,85,28000,No,15000to30000,1,18,19,Yes
581,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,TRUE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Average,Low,Unmarried,FALSE,NoJob,163,58,Passed,80,26000,No,NoJob,2,20,22,Yes
582,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Good,High,NoChildren,TRUE,JobIssue,166,63,Passed,0,30000,No,15000to30000,3,27,27,Yes
583,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,160,48,Passed,100,25000,No,NoJob,1,18,19,Yes
584,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NotMAS,Good,Low,NoChildren,TRUE,Other,162,68,Passed,90,20000,No,15000to30000,4,30,32,Yes
585,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,TRUE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Good,Low,Unmarried,FALSE,NoJob,160,54,Passed,80,22000,No,NoJob,1,18,19,Yes
586,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Average,Low,Unmarried,FALSE,NoJob,156,48,Passed,85,25000,No,NoJob,1,18,19,Yes
587,Female,No,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,TRUE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenGreaterThan5Yrs,FALSE,NoJob,166,60,Passed,85,25000,No,NoJob,3,29,27,Yes
588,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,172,56,Passed,85,30000,No,0to15000,3,26,27,Yes
589,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,Other,156,44,Passed,80,30000,No,30000to50000,3,28,27,Yes
590,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Average,High,Unmarried,TRUE,Other,162,70,Passed,75,25000,No,0to15000,3,26,27,Yes
591,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,FamilyMembersAeWorkingInApparel,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,158,70,Passed,75,30000,No,15000to30000,4,33,32,Yes
592,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,TRUE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,159,53,Passed,100,25000,Yes,NoJob,2,20,22,Yes
593,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,ChildrenLessThan5Yrs,TRUE,JobIssue,169,44,Passed,70,25000,No,0to15000,4,33,32,Yes
594,Female,No,Boarded,Unmarried,UptoOL,Lahiru,TRUE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,162,52,Passed,85,25000,No,15000to30000,2,22,22,Yes
595,Female,No,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NonApparel,Sewing,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,FALSE,JobIssue,69,46,Passed,90,25000,No,0to15000,3,25,27,Yes
596,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Support,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,Other,149,70,Passed,90,30000,No,15000to30000,2,24,22,Yes
597,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,TRUE,Other,153,41,Passed,85,25000,No,15000to30000,1,18,19,Yes
598,Female,Yes,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Good,High,NoChildren,FALSE,NoJob,152,55,Passed,80,25000,No,15000to30000,3,25,27,Yes
599,Female,Yes,ComingFromHome,Married,PassedOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,150,45,Passed,100,30000,No,15000to30000,3,27,27,Yes
600,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,171,51,Passed,85,25000,No,NoJob,2,20,22,Yes
601,Female,Yes,ComingFromHome,Unmarried,PassedAL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,162,70,Passed,95,25000,No,NoJob,2,21,22,Yes
602,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,NoChildren,FALSE,NoJob,155,50,Passed,80,25000,No,NoJob,2,24,22,Yes
603,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NotMAS,Good,Moderate,ChildrenGreaterThan5Yrs,FALSE,JobIssue,156,50,Passed,60,25000,No,NoJob,5,35,38,Yes
604,Female,No,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,171,62,Passed,95,25000,No,0to15000,2,20,22,Yes
605,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NotMAS,Good,High,Unmarried,FALSE,PersonalIssue,162,56,Passed,80,19000,No,15000to30000,3,27,27,Yes
606,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,51,Passed,95,25000,Yes,NoJob,2,21,22,Yes
607,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,JobIssue,170,55,Passed,85,25000,No,15000to30000,1,19,19,Yes
608,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,168,60,Passed,90,25000,No,NoJob,2,21,22,Yes
609,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,ChildrenGreaterThan5Yrs,TRUE,JobIssue,153,44,Passed,0,25000,No,15000to30000,4,32,32,Yes
610,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,163,68,Passed,100,20000,No,NoJob,1,19,19,Yes
611,Female,No,Boarded,Married,PassedOL,Lahiru,TRUE,TRUE,NoJob,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Good,Moderate,NoChildren,FALSE,NoJob,159,50,Passed,75,25000,No,NoJob,2,23,22,Yes
612,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,B,TMMO,Other,NoJob,Good,High,Unmarried,FALSE,NoJob,162,59,Passed,75,20000,No,NoJob,2,20,22,Yes
613,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NonApparel,Other,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,FALSE,JobIssue,164,92,Passed,85,25000,No,15000to30000,2,20,22,Yes
614,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,NoChildren,FALSE,NoJob,156,67,Passed,75,25000,No,NoJob,1,19,19,Yes
615,Female,Yes,Boarded,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,Other,156,45,Passed,80,30000,No,15000to30000,4,32,32,Yes
616,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMChecker,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,168,48,Passed,75,25000,No,0to15000,5,36,38,No
617,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,49,Passed,80,25000,No,NoJob,3,29,27,No
618,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,163,46,Passed,95,25000,No,0to15000,2,23,22,No
619,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,170,52,Passed,75,25000,No,15000to30000,4,30,32,No
620,Female,No,Boarded,NoSpouse,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,174,65,Passed,85,25000,No,0to15000,4,34,32,No
621,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Good,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,153,41,Passed,100,30000,No,15000to30000,3,29,27,No
622,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,Moderate,Unmarried,FALSE,JobIssue,158,51,Passed,80,22000,No,0to15000,3,26,27,No
623,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,Other,162,42,Passed,75,25000,No,0to15000,1,19,19,No
624,Female,No,ComingFromHome,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,169,52,Passed,80,25000,No,0to15000,3,29,27,No
625,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Good,High,Unmarried,FALSE,NoJob,158,55,Passed,65,25000,No,NoJob,1,19,19,Yes
626,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,TRUE,NoJob,NoExperience,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenLessThan5Yrs,FALSE,NoJob,160,58,Passed,95,25000,Yes,NoJob,4,30,32,Yes
627,Female,No,Boarded,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,TRUE,Other,154,42,Passed,85,25000,No,15000to30000,2,20,22,Yes
